#Release 14.7 - par P.20131013 (nt64)
#Copyright (c) 1995-2013 Xilinx, Inc.  All rights reserved.

#Sat Nov 30 00:16:00 2019

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       mojo_top_0.ncd
#OUTPUT FILE:      mojo_top_0_routed_pad.csv
#PART TYPE:        xc6slx9
#SPEED GRADE:      -2
#PACKAGE:          tqg144
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
P39,avr_rx_busy,IOB,IO_L65P_INIT_B_2,INPUT,LVTTL,2,,,,NONE,,LOCATED,NO,NONE,
P40,,IOBS,IO_L64N_D9_2,UNUSED,,2,,,,,,,,,
P41,,IOBM,IO_L64P_D8_2,UNUSED,,2,,,,,,,,,
P42,,,VCCO_2,,,2,,,,,any******,,,,
P43,spi_sck,IOB,IO_L62N_D6_2,INPUT,LVTTL,2,,,,NONE,,LOCATED,NO,NONE,
P44,spi_mosi,IOB,IO_L62P_D5_2,INPUT,LVTTL,2,,,,NONE,,LOCATED,NO,NONE,
P45,,IOBS,IO_L49N_D4_2,UNUSED,,2,,,,,,,,,
P46,,IOBM,IO_L49P_D3_2,UNUSED,,2,,,,,,,,,
P47,,IOBS,IO_L48N_RDWR_B_VREF_2,UNUSED,,2,,,,,,,,,
P48,spi_ss,IOB,IO_L48P_D7_2,INPUT,LVTTL,2,,,,NONE,,LOCATED,NO,NONE,
P49,,,GND,,,,,,,,,,,,
P50,,IOBS,IO_L31N_GCLK30_D15_2,UNUSED,,2,,,,,,,,,
P51,,IOBM,IO_L31P_GCLK31_D14_2,UNUSED,,2,,,,,,,,,
P52,,,VCCINT,,,,,,,,1.2,,,,
P53,,,VCCAUX,,,,,,,,3.3,,,,
P54,,,GND,,,,,,,,,,,,
P55,avr_tx,IOB,IO_L30N_GCLK0_USERCCLK_2,INPUT,LVTTL,2,,,,NONE,,LOCATED,NO,NONE,
P56,clk,IOB,IO_L30P_GCLK1_D13_2,INPUT,LVTTL,2,,,,NONE,,LOCATED,NO,NONE,
P57,,IOBS,IO_L14N_D12_2,UNUSED,,2,,,,,,,,,
P58,,IOBM,IO_L14P_D11_2,UNUSED,,2,,,,,,,,,
P59,,IOBS,IO_L13N_D10_2,UNUSED,,2,,,,,,,,,
P60,,IOBM,IO_L13P_M1_2,UNUSED,,2,,,,,,,,,
P61,,IOBS,IO_L12N_D2_MISO3_2,UNUSED,,2,,,,,,,,,
P62,,IOBM,IO_L12P_D1_MISO2_2,UNUSED,,2,,,,,,,,,
P63,,,VCCO_2,,,2,,,,,any******,,,,
P64,,IOBS,IO_L3N_MOSI_CSI_B_MISO0_2,UNUSED,,2,,,,,,,,,
P65,,IOBM,IO_L3P_D0_DIN_MISO_MISO1_2,UNUSED,,2,,,,,,,,,
P66,,IOBS,IO_L2N_CMPMOSI_2,UNUSED,,2,,,,,,,,,
P67,,IOBM,IO_L2P_CMPCLK_2,UNUSED,,2,,,,,,,,,
P68,,,GND,,,,,,,,,,,,
P69,,IOBS,IO_L1N_M0_CMPMISO_2,UNUSED,,2,,,,,,,,,
P70,cclk,IOB,IO_L1P_CCLK_2,INPUT,LVTTL,2,,,,NONE,,LOCATED,NO,NONE,
P71,,,DONE_2,,,,,,,,,,,,
P72,,,CMPCS_B_2,,,,,,,,,,,,
P73,,,SUSPEND,,,,,,,,,,,,
P74,ledr0c3B,IOB,IO_L74N_DOUT_BUSY_1,OUTPUT,LVTTL,1,12,SLOW,,,,LOCATED,NO,NONE,
P75,ledr0c3G,IOB,IO_L74P_AWAKE_1,OUTPUT,LVTTL,1,12,SLOW,,,,LOCATED,NO,NONE,
P76,,,VCCO_1,,,1,,,,,3.30,,,,
P77,,,GND,,,,,,,,,,,,
P78,ledr0c3R,IOB,IO_L47N_1,OUTPUT,LVTTL,1,12,SLOW,,,,LOCATED,NO,NONE,
P79,btnr0c3,IOB,IO_L47P_1,INPUT,LVTTL,1,,,PULLDOWN,NONE,,LOCATED,NO,NONE,
P80,ledr1c3B,IOB,IO_L46N_1,OUTPUT,LVTTL,1,12,SLOW,,,,LOCATED,NO,NONE,
P81,ledr1c3G,IOB,IO_L46P_1,OUTPUT,LVTTL,1,12,SLOW,,,,LOCATED,NO,NONE,
P82,ledr1c3R,IOB,IO_L45N_1,OUTPUT,LVTTL,1,12,SLOW,,,,LOCATED,NO,NONE,
P83,btnr1c3,IOB,IO_L45P_1,INPUT,LVTTL,1,,,PULLDOWN,NONE,,LOCATED,NO,NONE,
P84,led[4],IOB,IO_L43N_GCLK4_1,OUTPUT,LVTTL,1,12,SLOW,,,,UNLOCATED,NO,NONE,
P85,led[6],IOB,IO_L43P_GCLK5_1,OUTPUT,LVTTL,1,12,SLOW,,,,UNLOCATED,NO,NONE,
P86,,,VCCO_1,,,1,,,,,3.30,,,,
P87,ledr0c2B,IOB,IO_L42N_GCLK6_TRDY1_1,OUTPUT,LVTTL,1,12,SLOW,,,,LOCATED,NO,NONE,
P88,ledr0c2G,IOB,IO_L42P_GCLK7_1,OUTPUT,LVTTL,1,12,SLOW,,,,LOCATED,NO,NONE,
P89,,,VCCINT,,,,,,,,1.2,,,,
P90,,,VCCAUX,,,,,,,,3.3,,,,
P91,,,GND,,,,,,,,,,,,
P92,ledr0c2R,IOB,IO_L41N_GCLK8_1,OUTPUT,LVTTL,1,12,SLOW,,,,LOCATED,NO,NONE,
P93,btnr0c2,IOB,IO_L41P_GCLK9_IRDY1_1,INPUT,LVTTL,1,,,PULLDOWN,NONE,,LOCATED,NO,NONE,
P94,ledr0c1B,IOB,IO_L40N_GCLK10_1,OUTPUT,LVTTL,1,12,SLOW,,,,LOCATED,NO,NONE,
P95,ledr0c1G,IOB,IO_L40P_GCLK11_1,OUTPUT,LVTTL,1,12,SLOW,,,,LOCATED,NO,NONE,
P96,,,GND,,,,,,,,,,,,
P97,ledr0c1R,IOB,IO_L34N_1,OUTPUT,LVTTL,1,12,SLOW,,,,LOCATED,NO,NONE,
P98,btnr0c1,IOB,IO_L34P_1,INPUT,LVTTL,1,,,PULLDOWN,NONE,,LOCATED,NO,NONE,
P99,ledr0c0B,IOB,IO_L33N_1,OUTPUT,LVTTL,1,12,SLOW,,,,LOCATED,NO,NONE,
P100,ledr0c0G,IOB,IO_L33P_1,OUTPUT,LVTTL,1,12,SLOW,,,,LOCATED,NO,NONE,
P101,ledr0c0R,IOB,IO_L32N_1,OUTPUT,LVTTL,1,12,SLOW,,,,LOCATED,NO,NONE,
P102,btnr0c0,IOB,IO_L32P_1,INPUT,LVTTL,1,,,PULLDOWN,NONE,,LOCATED,NO,NONE,
P103,,,VCCO_1,,,1,,,,,3.30,,,,
P104,ledr1c2B,IOB,IO_L1N_VREF_1,OUTPUT,LVTTL,1,12,SLOW,,,,LOCATED,NO,NONE,
P105,ledr1c2G,IOB,IO_L1P_1,OUTPUT,LVTTL,1,12,SLOW,,,,LOCATED,NO,NONE,
P106,,,TDO,,,,,,,,,,,,
P107,,,TMS,,,,,,,,,,,,
P108,,,GND,,,,,,,,,,,,
P109,,,TCK,,,,,,,,,,,,
P110,,,TDI,,,,,,,,,,,,
P111,ledr1c2R,IOB,IO_L66N_SCP0_0,OUTPUT,LVTTL,0,12,SLOW,,,,LOCATED,NO,NONE,
P112,btnr1c2,IOB,IO_L66P_SCP1_0,INPUT,LVTTL,0,,,PULLDOWN,NONE,,LOCATED,NO,NONE,
P113,,,GND,,,,,,,,,,,,
P114,ledr1c1B,IOB,IO_L65N_SCP2_0,OUTPUT,LVTTL,0,12,SLOW,,,,LOCATED,NO,NONE,
P115,ledr1c1G,IOB,IO_L65P_SCP3_0,OUTPUT,LVTTL,0,12,SLOW,,,,LOCATED,NO,NONE,
P116,ledr1c1R,IOB,IO_L64N_SCP4_0,OUTPUT,LVTTL,0,12,SLOW,,,,LOCATED,NO,NONE,
P117,btnr1c1,IOB,IO_L64P_SCP5_0,INPUT,LVTTL,0,,,PULLDOWN,NONE,,LOCATED,NO,NONE,
P118,ledr1c0B,IOB,IO_L63N_SCP6_0,OUTPUT,LVTTL,0,12,SLOW,,,,LOCATED,NO,NONE,
P119,ledr1c0G,IOB,IO_L63P_SCP7_0,OUTPUT,LVTTL,0,12,SLOW,,,,LOCATED,NO,NONE,
P120,ledr1c0R,IOB,IO_L62N_VREF_0,OUTPUT,LVTTL,0,12,SLOW,,,,LOCATED,NO,NONE,
P121,btnr1c0,IOB,IO_L62P_0,INPUT,LVTTL,0,,,PULLDOWN,NONE,,LOCATED,NO,NONE,
P122,,,VCCO_0,,,0,,,,,3.30,,,,
P123,ledr2c0R,IOB,IO_L37N_GCLK12_0,OUTPUT,LVTTL,0,12,SLOW,,,,LOCATED,NO,NONE,
P124,btnr2c0,IOB,IO_L37P_GCLK13_0,INPUT,LVTTL,0,,,PULLDOWN,NONE,,LOCATED,NO,NONE,
P125,,,VCCO_0,,,0,,,,,3.30,,,,
P126,ledr2c0B,IOB,IO_L36N_GCLK14_0,OUTPUT,LVTTL,0,12,SLOW,,,,LOCATED,NO,NONE,
P127,ledr2c0G,IOB,IO_L36P_GCLK15_0,OUTPUT,LVTTL,0,12,SLOW,,,,LOCATED,NO,NONE,
P128,,,VCCINT,,,,,,,,1.2,,,,
P129,,,VCCAUX,,,,,,,,3.3,,,,
P130,,,GND,,,,,,,,,,,,
P131,ledr3c0R,IOB,IO_L35N_GCLK16_0,OUTPUT,LVTTL,0,12,SLOW,,,,LOCATED,NO,NONE,
P132,btnr3c0,IOB,IO_L35P_GCLK17_0,INPUT,LVTTL,0,,,PULLDOWN,NONE,,LOCATED,NO,NONE,
P133,ledr3c0B,IOB,IO_L34N_GCLK18_0,OUTPUT,LVTTL,0,12,SLOW,,,,LOCATED,NO,NONE,
P134,ledr3c0G,IOB,IO_L34P_GCLK19_0,OUTPUT,LVTTL,0,12,SLOW,,,,LOCATED,NO,NONE,
P135,,,VCCO_0,,,0,,,,,3.30,,,,
P136,,,GND,,,,,,,,,,,,
P137,ledr2c1R,IOB,IO_L4N_0,OUTPUT,LVTTL,0,12,SLOW,,,,LOCATED,NO,NONE,
P138,btnr2c1,IOB,IO_L4P_0,INPUT,LVTTL,0,,,PULLDOWN,NONE,,LOCATED,NO,NONE,
P139,ledr2c1B,IOB,IO_L3N_0,OUTPUT,LVTTL,0,12,SLOW,,,,LOCATED,NO,NONE,
P140,ledr2c1G,IOB,IO_L3P_0,OUTPUT,LVTTL,0,12,SLOW,,,,LOCATED,NO,NONE,
P141,ledr3c1R,IOB,IO_L2N_0,OUTPUT,LVTTL,0,12,SLOW,,,,LOCATED,NO,NONE,
P142,btnr3c1,IOB,IO_L2P_0,INPUT,LVTTL,0,,,PULLDOWN,NONE,,LOCATED,NO,NONE,
P143,ledr3c1B,IOB,IO_L1N_VREF_0,OUTPUT,LVTTL,0,12,SLOW,,,,LOCATED,NO,NONE,
P144,ledr3c1G,IOB,IO_L1P_HSWAPEN_0,OUTPUT,LVTTL,0,12,SLOW,,,,LOCATED,NO,NONE,

# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
# 
#* Default value.
#** This default Pullup/Pulldown value can be overridden in Bitgen. 
#****** Special VCCO requirements may apply. Please consult the device 
#       family datasheet for specific guideline on VCCO requirements. 
#
#
#
